Epoch: 0 | Loss: 0.9642 | Train Accuracy: 22.37 | Test Accuracy: 23.87
Epoch: 1 | Loss: 0.7930 | Train Accuracy: 24.00 | Test Accuracy: 24.00
Epoch: 2 | Loss: 0.7896 | Train Accuracy: 24.06 | Test Accuracy: 23.99
Epoch: 3 | Loss: 0.7888 | Train Accuracy: 24.06 | Test Accuracy: 24.04
Epoch: 4 | Loss: 0.7887 | Train Accuracy: 24.05 | Test Accuracy: 24.00
Epoch: 5 | Loss: 0.7886 | Train Accuracy: 24.07 | Test Accuracy: 24.04
Epoch: 6 | Loss: 0.7886 | Train Accuracy: 24.07 | Test Accuracy: 24.04
Epoch: 7 | Loss: 0.7886 | Train Accuracy: 24.05 | Test Accuracy: 23.99
Epoch: 8 | Loss: 0.7887 | Train Accuracy: 24.05 | Test Accuracy: 24.03
Epoch: 9 | Loss: 0.7886 | Train Accuracy: 24.07 | Test Accuracy: 23.99
Epoch: 10 | Loss: 0.7884 | Train Accuracy: 24.06 | Test Accuracy: 24.06
Epoch: 11 | Loss: 0.7886 | Train Accuracy: 24.05 | Test Accuracy: 24.02
Epoch: 12 | Loss: 0.7886 | Train Accuracy: 24.06 | Test Accuracy: 23.98
Epoch: 13 | Loss: 0.7887 | Train Accuracy: 24.07 | Test Accuracy: 24.05
Epoch: 14 | Loss: 0.7885 | Train Accuracy: 24.04 | Test Accuracy: 24.02
Epoch: 15 | Loss: 0.7887 | Train Accuracy: 24.05 | Test Accuracy: 24.06
Epoch: 16 | Loss: 0.7886 | Train Accuracy: 24.06 | Test Accuracy: 24.06
Epoch: 17 | Loss: 0.7886 | Train Accuracy: 24.05 | Test Accuracy: 24.11
Epoch: 18 | Loss: 0.7888 | Train Accuracy: 24.05 | Test Accuracy: 23.98
Epoch: 19 | Loss: 0.7885 | Train Accuracy: 24.08 | Test Accuracy: 24.06
Epoch: 20 | Loss: 0.7881 | Train Accuracy: 24.05 | Test Accuracy: 24.00
Epoch: 21 | Loss: 0.7882 | Train Accuracy: 24.06 | Test Accuracy: 24.04
Epoch: 22 | Loss: 0.7880 | Train Accuracy: 24.07 | Test Accuracy: 24.05
Epoch: 23 | Loss: 0.7884 | Train Accuracy: 24.06 | Test Accuracy: 24.01
Epoch: 24 | Loss: 0.7881 | Train Accuracy: 24.08 | Test Accuracy: 23.96
Epoch: 25 | Loss: 0.7881 | Train Accuracy: 24.07 | Test Accuracy: 24.01
Epoch: 26 | Loss: 0.7885 | Train Accuracy: 24.08 | Test Accuracy: 24.03
Epoch: 27 | Loss: 0.7885 | Train Accuracy: 24.05 | Test Accuracy: 24.00
Epoch: 28 | Loss: 0.7882 | Train Accuracy: 24.07 | Test Accuracy: 24.02
Epoch: 29 | Loss: 0.7883 | Train Accuracy: 24.07 | Test Accuracy: 24.08
Epoch: 30 | Loss: 0.7885 | Train Accuracy: 24.07 | Test Accuracy: 24.03
Epoch: 31 | Loss: 0.7886 | Train Accuracy: 24.05 | Test Accuracy: 24.03
Epoch: 32 | Loss: 0.7885 | Train Accuracy: 24.06 | Test Accuracy: 24.05
Epoch: 33 | Loss: 0.7886 | Train Accuracy: 24.08 | Test Accuracy: 24.04
Epoch: 34 | Loss: 0.7886 | Train Accuracy: 24.06 | Test Accuracy: 24.08
Epoch: 35 | Loss: 0.7887 | Train Accuracy: 24.07 | Test Accuracy: 24.03
Epoch: 36 | Loss: 0.7886 | Train Accuracy: 24.06 | Test Accuracy: 24.03
Epoch: 37 | Loss: 0.7889 | Train Accuracy: 24.06 | Test Accuracy: 23.99
Epoch: 38 | Loss: 0.7887 | Train Accuracy: 24.07 | Test Accuracy: 24.08
Epoch: 39 | Loss: 0.7887 | Train Accuracy: 24.07 | Test Accuracy: 24.03
Epoch: 40 | Loss: 0.7889 | Train Accuracy: 24.05 | Test Accuracy: 24.02
Epoch: 41 | Loss: 0.7886 | Train Accuracy: 24.08 | Test Accuracy: 24.04
Epoch: 42 | Loss: 0.7886 | Train Accuracy: 24.06 | Test Accuracy: 24.01
Epoch: 43 | Loss: 0.7882 | Train Accuracy: 24.07 | Test Accuracy: 24.11
Epoch: 44 | Loss: 0.7882 | Train Accuracy: 24.07 | Test Accuracy: 24.02
Epoch: 45 | Loss: 0.7882 | Train Accuracy: 24.06 | Test Accuracy: 24.01
Epoch: 46 | Loss: 0.7881 | Train Accuracy: 24.06 | Test Accuracy: 24.00
Epoch: 47 | Loss: 0.7883 | Train Accuracy: 24.05 | Test Accuracy: 24.07
Epoch: 48 | Loss: 0.7882 | Train Accuracy: 24.07 | Test Accuracy: 24.04
Epoch: 49 | Loss: 0.7880 | Train Accuracy: 24.07 | Test Accuracy: 24.01
