Epoch: 0 | Loss: 1.5942 | Train Accuracy: 14.01 | Test Accuracy: 22.26
Epoch: 1 | Loss: 0.8065 | Train Accuracy: 24.28 | Test Accuracy: 25.81
Epoch: 2 | Loss: 0.7080 | Train Accuracy: 26.41 | Test Accuracy: 26.48
Epoch: 3 | Loss: 0.6822 | Train Accuracy: 26.90 | Test Accuracy: 26.72
Epoch: 4 | Loss: 0.6728 | Train Accuracy: 27.05 | Test Accuracy: 26.83
Epoch: 5 | Loss: 0.6694 | Train Accuracy: 27.12 | Test Accuracy: 26.87
Epoch: 6 | Loss: 0.6679 | Train Accuracy: 27.14 | Test Accuracy: 26.90
Epoch: 7 | Loss: 0.6672 | Train Accuracy: 27.13 | Test Accuracy: 26.88
Epoch: 8 | Loss: 0.6668 | Train Accuracy: 27.15 | Test Accuracy: 26.96
Epoch: 9 | Loss: 0.6666 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 10 | Loss: 0.6663 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 11 | Loss: 0.6663 | Train Accuracy: 27.15 | Test Accuracy: 26.94
Epoch: 12 | Loss: 0.6662 | Train Accuracy: 27.16 | Test Accuracy: 26.92
Epoch: 13 | Loss: 0.6661 | Train Accuracy: 27.15 | Test Accuracy: 26.97
Epoch: 14 | Loss: 0.6660 | Train Accuracy: 27.15 | Test Accuracy: 26.95
Epoch: 15 | Loss: 0.6660 | Train Accuracy: 27.16 | Test Accuracy: 26.94
Epoch: 16 | Loss: 0.6659 | Train Accuracy: 27.16 | Test Accuracy: 26.92
Epoch: 17 | Loss: 0.6660 | Train Accuracy: 27.15 | Test Accuracy: 26.95
Epoch: 18 | Loss: 0.6659 | Train Accuracy: 27.15 | Test Accuracy: 26.95
Epoch: 19 | Loss: 0.6659 | Train Accuracy: 27.16 | Test Accuracy: 26.95
Epoch: 20 | Loss: 0.6659 | Train Accuracy: 27.16 | Test Accuracy: 26.92
Epoch: 21 | Loss: 0.6659 | Train Accuracy: 27.15 | Test Accuracy: 26.97
Epoch: 22 | Loss: 0.6659 | Train Accuracy: 27.16 | Test Accuracy: 26.93
Epoch: 23 | Loss: 0.6659 | Train Accuracy: 27.15 | Test Accuracy: 26.97
Epoch: 24 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 25 | Loss: 0.6659 | Train Accuracy: 27.17 | Test Accuracy: 26.96
Epoch: 26 | Loss: 0.6658 | Train Accuracy: 27.15 | Test Accuracy: 26.98
Epoch: 27 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 28 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 29 | Loss: 0.6659 | Train Accuracy: 27.15 | Test Accuracy: 26.95
Epoch: 30 | Loss: 0.6657 | Train Accuracy: 27.16 | Test Accuracy: 26.96
Epoch: 31 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 32 | Loss: 0.6658 | Train Accuracy: 27.15 | Test Accuracy: 26.96
Epoch: 33 | Loss: 0.6657 | Train Accuracy: 27.16 | Test Accuracy: 26.98
Epoch: 34 | Loss: 0.6657 | Train Accuracy: 27.16 | Test Accuracy: 26.96
Epoch: 35 | Loss: 0.6658 | Train Accuracy: 27.15 | Test Accuracy: 26.99
Epoch: 36 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 27.00
Epoch: 37 | Loss: 0.6658 | Train Accuracy: 27.15 | Test Accuracy: 26.94
Epoch: 38 | Loss: 0.6657 | Train Accuracy: 27.16 | Test Accuracy: 26.96
Epoch: 39 | Loss: 0.6657 | Train Accuracy: 27.15 | Test Accuracy: 26.98
Epoch: 40 | Loss: 0.6657 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 41 | Loss: 0.6658 | Train Accuracy: 27.17 | Test Accuracy: 26.97
Epoch: 42 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 43 | Loss: 0.6658 | Train Accuracy: 27.15 | Test Accuracy: 26.93
Epoch: 44 | Loss: 0.6657 | Train Accuracy: 27.15 | Test Accuracy: 26.96
Epoch: 45 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 26.99
Epoch: 46 | Loss: 0.6657 | Train Accuracy: 27.17 | Test Accuracy: 26.92
Epoch: 47 | Loss: 0.6658 | Train Accuracy: 27.17 | Test Accuracy: 26.94
Epoch: 48 | Loss: 0.6658 | Train Accuracy: 27.16 | Test Accuracy: 26.97
Epoch: 49 | Loss: 0.6659 | Train Accuracy: 27.16 | Test Accuracy: 26.96
